"fip","H.Clinton","B.Sanders","D.Trump","T.Cruz","M.Rubio","J.Kasich","state","winnerdem_votes","winnerrep_votes","winnerdem","winnerrep"
"1083","3199","1120","8198","4082","3602","746","AL",3199,8198,"H.Clinton","D.Trump"
"1085","3782","330","500","137","83","26","AL",3782,500,"H.Clinton","D.Trump"
"1087","4293","483","356","147","92","39","AL",4293,356,"H.Clinton","D.Trump"
"1089","19995","8786","23791","13622","17116","3919","AL",19995,23791,"H.Clinton","D.Trump"
"1091","3590","1092","580","228","127","26","AL",3590,580,"H.Clinton","D.Trump"
"1093","567","256","3503","1268","921","167","AL",567,3503,"H.Clinton","D.Trump"
"1095","1494","821","9115","2784","3785","595","AL",1494,9115,"H.Clinton","D.Trump"
"1097","28927","5672","28326","13458","11850","2893","AL",28927,28326,"H.Clinton","D.Trump"
"1099","2438","205","1966","658","596","108","AL",2438,1966,"H.Clinton","D.Trump"
"1101","28650","4266","10517","4700","5570","1953","AL",28650,10517,"H.Clinton","D.Trump"
"1103","3897","1345","10909","4828","4488","1109","AL",3897,10909,"H.Clinton","D.Trump"
"1105","2575","389","192","123","33","2","AL",2575,192,"H.Clinton","D.Trump"
"1107","2326","453","1124","658","353","65","AL",2326,1124,"H.Clinton","D.Trump"
"1109","2183","379","2493","1092","798","172","AL",2183,2493,"H.Clinton","D.Trump"
"1111","1236","328","2352","942","584","133","AL",1236,2352,"H.Clinton","D.Trump"
"1113","4381","988","1784","1016","463","106","AL",4381,1784,"H.Clinton","D.Trump"
"1117","6657","3755","18260","14005","12213","2679","AL",6657,18260,"H.Clinton","D.Trump"
"1115","1808","745","8596","5178","2586","518","AL",1808,8596,"H.Clinton","D.Trump"
"1119","2987","416","166","45","39","4","AL",2987,166,"H.Clinton","D.Trump"
"1121","5561","782","6304","2468","1676","470","AL",5561,6304,"H.Clinton","D.Trump"
"1123","2658","308","4658","1325","1289","371","AL",2658,4658,"H.Clinton","D.Trump"
"1125","12136","3444","11652","7789","6333","1381","AL",12136,11652,"H.Clinton","D.Trump"
"1127","1772","727","8394","3106","1652","362","AL",1772,8394,"H.Clinton","D.Trump"
"1129","1511","562","1269","516","362","27","AL",1511,1269,"H.Clinton","D.Trump"
"1131","3337","410","287","114","64","12","AL",3337,287,"H.Clinton","D.Trump"
"1133","303","138","3352","1076","708","163","AL",303,3352,"H.Clinton","D.Trump"
"0","99","440","7346","7973","3318","892","AK",440,7973,"B.Sanders","T.Cruz"
"5001","724","132","1073","593","789","83","AR",724,1073,"H.Clinton","D.Trump"
"5003","1375","980","586","403","281","45","AR",1375,586,"H.Clinton","D.Trump"
"5005","1391","807","3798","2480","1374","376","AR",1391,3798,"H.Clinton","D.Trump"
"5007","5650","4696","11828","11909","12863","2272","AR",5650,12863,"H.Clinton","M.Rubio"
"5009","721","469","2577","1589","1213","267","AR",721,2577,"H.Clinton","D.Trump"
"5011","593","106","770","393","361","45","AR",593,770,"H.Clinton","D.Trump"
"5013","413","312","172","142","76","4","AR",413,172,"H.Clinton","D.Trump"
"5015","0","0","0","0","0","0","AR",0,0,"H.Clinton","D.Trump"
"5017","1370","247","416","152","162","20","AR",1370,416,"H.Clinton","D.Trump"
"5019","1650","494","694","907","750","102","AR",1650,907,"H.Clinton","T.Cruz"
"5021","960","656","339","276","136","15","AR",960,339,"H.Clinton","D.Trump"
"5023","758","316","2530","2227","1392","210","AR",758,2530,"H.Clinton","D.Trump"
"5025","382","137","503","550","313","32","AR",382,550,"H.Clinton","T.Cruz"
"5027","1008","306","1149","943","634","103","AR",1008,1149,"H.Clinton","D.Trump"
"5029","1755","840","805","741","498","31","AR",1755,805,"H.Clinton","D.Trump"
"5031","3543","1862","3429","4108","3142","477","AR",3543,4108,"H.Clinton","T.Cruz"
"5033","1586","874","3392","3926","2251","249","AR",1586,3926,"H.Clinton","T.Cruz"
"5035","3379","722","1359","792","543","91","AR",3379,1359,"H.Clinton","D.Trump"
"5037","780","228","972","808","395","45","AR",780,972,"H.Clinton","D.Trump"
"5039","693","361","163","148","90","1","AR",693,163,"H.Clinton","D.Trump"
"5041","1342","449","234","75","97","5","AR",1342,234,"H.Clinton","D.Trump"
"5043","1250","475","795","538","557","47","AR",1250,795,"H.Clinton","D.Trump"
"5045","4077","2774","5078","6228","5426","595","AR",4077,6228,"H.Clinton","T.Cruz"
"5047","667","294","1229","1093","601","95","AR",667,1229,"H.Clinton","D.Trump"
"5049","701","473","651","385","181","32","AR",701,651,"H.Clinton","D.Trump"
"5051","4057","1779","5538","4081","4050","673","AR",4057,5538,"H.Clinton","D.Trump"
"5053","690","300","1010","1329","652","59","AR",690,1329,"H.Clinton","T.Cruz"
"5055","1236","585","2103","1709","1318","206","AR",1236,2103,"H.Clinton","D.Trump"
"5057","786","164","821","917","395","91","AR",786,917,"H.Clinton","T.Cruz"
"5059","1562","730","1597","1381","891","81","AR",1562,1597,"H.Clinton","D.Trump"
"5061","535","129","559","548","322","34","AR",535,559,"H.Clinton","D.Trump"
"5063","1059","521","2077","1644","1370","234","AR",1059,2077,"H.Clinton","D.Trump"
"5065","516","239","873","628","349","55","AR",516,873,"H.Clinton","D.Trump"
"5067","702","225","711","437","351","31","AR",702,711,"H.Clinton","D.Trump"
"5069","9936","2115","1490","1285","712","41","AR",9936,1490,"H.Clinton","D.Trump"
"5071","1056","580","1338","1004","617","98","AR",1056,1338,"H.Clinton","D.Trump"
"5073","443","160","334","298","80","11","AR",443,334,"H.Clinton","D.Trump"
"5075","933","726","445","426","230","21","AR",933,445,"H.Clinton","D.Trump"
"5077","956","84","349","143","120","12","AR",956,349,"H.Clinton","D.Trump"
"5079","599","152","581","416","242","15","AR",599,581,"H.Clinton","D.Trump"
"5081","721","441","521","488","187","15","AR",721,521,"H.Clinton","D.Trump"
"5083","881","361","1208","1077","687","64","AR",881,1208,"H.Clinton","D.Trump"
"5085","1664","817","3826","4028","2588","301","AR",1664,4028,"H.Clinton","T.Cruz"
"5087","1085","1078","671","632","296","29","AR",1085,671,"H.Clinton","D.Trump"
"5089","421","314","1581","903","548","148","AR",421,1581,"H.Clinton","D.Trump"
"5091","1300","356","2425","2741","881","212","AR",1300,2741,"H.Clinton","T.Cruz"
"5093","2017","342","1575","811","673","138","AR",2017,1575,"H.Clinton","D.Trump"
"5095","843","411","173","138","81","5","AR",843,173,"H.Clinton","D.Trump"
"5097","316","142","672","432","287","68","AR",316,672,"H.Clinton","D.Trump"
"5099","647","306","232","246","128","11","AR",647,246,"H.Clinton","T.Cruz"
"5101","192","211","1073","593","789","83","AR",211,1073,"B.Sanders","D.Trump"
"5103","2095","525","1006","789","662","61","AR",2095,1006,"H.Clinton","D.Trump"
"5105","648","428","522","544","238","30","AR",648,544,"H.Clinton","T.Cruz"
"5107","2696","656","363","110","113","11","AR",2696,363,"H.Clinton","D.Trump"
"5109","367","171","511","501","327","30","AR",367,511,"H.Clinton","D.Trump"
"5111","717","228","1036","901","473","69","AR",717,1036,"H.Clinton","D.Trump"
"5113","349","272","1895","1043","1040","155","AR",349,1895,"H.Clinton","D.Trump"
"5115","1680","1169","3073","3005","2331","282","AR",1680,3073,"H.Clinton","D.Trump"
"5117","558","385","326","466","230","11","AR",558,466,"H.Clinton","T.Cruz"
"5119","34862","10461","11840","12848","16282","2534","AR",34862,16282,"H.Clinton","M.Rubio"
"5121","662","356","735","655","380","61","AR",662,735,"H.Clinton","D.Trump"
"5123","1912","354","598","494","236","19","AR",1912,598,"H.Clinton","D.Trump"
"5125","4358","2008","6934","7507","6119","723","AR",4358,7507,"H.Clinton","T.Cruz"
"5127","306","151","715","484","283","50","AR",306,715,"H.Clinton","D.Trump"
"5129","221","164","939","852","332","65","AR",221,939,"H.Clinton","D.Trump"
"5131","3694","2226","6030","5686","4473","1002","AR",3694,6030,"H.Clinton","D.Trump"
"5133","342","167","593","495","253","36","AR",342,593,"H.Clinton","D.Trump"
"5135","608","294","1241","722","579","90","AR",608,1241,"H.Clinton","D.Trump"
"5137","547","421","993","780","430","62","AR",547,993,"H.Clinton","D.Trump"
"5139","2548","1669","1188","1138","662","87","AR",2548,1188,"H.Clinton","D.Trump"
"5141","770","436","1198","958","674","107","AR",770,1198,"H.Clinton","D.Trump"
"5143","9110","8507","7968","8890","8730","1291","AR",9110,8890,"H.Clinton","T.Cruz"
"5145","2024","818","4074","4395","2877","292","AR",2024,4395,"H.Clinton","T.Cruz"
"5147","862","292","130","85","46","5","AR",862,130,"H.Clinton","D.Trump"
"5149","723","432","911","784","496","47","AR",723,911,"H.Clinton","D.Trump"
"13001","490","142","1290","914","462","83","GA",490,1290,"H.Clinton","D.Trump"
"13003","201","49","619","183","73","14","GA",201,619,"H.Clinton","D.Trump"
"13005","113","58","904","341","246","57","GA",113,904,"H.Clinton","D.Trump"
"13007","303","48","262","87","42","8","GA",303,262,"H.Clinton","D.Trump"
"13009","3034","762","2069","880","961","184","GA",3034,2069,"H.Clinton","D.Trump"
"13011","172","169","1806","1050","443","84","GA",172,1806,"H.Clinton","D.Trump"
"13013","1457","879","4653","3470","2049","345","GA",1457,4653,"H.Clinton","D.Trump"
"13015","2216","1490","8281","4504","3259","549","GA",2216,8281,"H.Clinton","D.Trump"
"13017","779","179","1020","315","195","60","GA",779,1020,"H.Clinton","D.Trump"
"13019","325","146","1563","718","241","66","GA",325,1563,"H.Clinton","D.Trump"
"13021","12944","2632","5942","3401","3519","1110","GA",12944,5942,"H.Clinton","D.Trump"
"13023","370","98","935","532","412","87","GA",370,935,"H.Clinton","D.Trump"
"13025","137","123","1161","604","319","48","GA",137,1161,"H.Clinton","D.Trump"
"13027","714","198","1009","473","265","52","GA",714,1009,"H.Clinton","D.Trump"
"13029","893","501","2214","1476","1294","274","GA",893,2214,"H.Clinton","D.Trump"
"13031","1910","1221","3111","2147","1764","447","GA",1910,3111,"H.Clinton","D.Trump"
"13033","1659","184","1181","803","375","56","GA",1659,1181,"H.Clinton","D.Trump"
"13035","922","191","1884","1002","597","98","GA",922,1884,"H.Clinton","D.Trump"
"13037","499","61","227","104","69","15","GA",499,227,"H.Clinton","D.Trump"
"13039","1405","688","3065","1180","1227","296","GA",1405,3065,"H.Clinton","D.Trump"
"13043","434","110","897","321","322","76","GA",434,897,"H.Clinton","D.Trump"
"13045","3173","1933","7495","4997","3375","650","GA",3173,7495,"H.Clinton","D.Trump"
"13047","1082","1026","4449","2524","2430","460","GA",1082,4449,"H.Clinton","D.Trump"
"13049","275","84","602","319","208","20","GA",275,602,"H.Clinton","D.Trump"
"13051","19898","7496","10726","7049","7845","2981","GA",19898,10726,"H.Clinton","D.Trump"
"13053","182","40","175","89","30","8","GA",182,175,"H.Clinton","D.Trump"
"13055","566","302","1674","635","523","74","GA",566,1674,"H.Clinton","D.Trump"
"13057","4837","4438","18460","12886","13465","2472","GA",4837,18460,"H.Clinton","D.Trump"
"13059","7089","6845","2357","1820","3105","876","GA",7089,3105,"H.Clinton","M.Rubio"
"13061","297","44","179","64","57","15","GA",297,179,"H.Clinton","D.Trump"
"13063","25130","5551","3264","1857","1640","333","GA",25130,3264,"H.Clinton","D.Trump"
"13065","167","38","412","164","111","12","GA",167,412,"H.Clinton","D.Trump"
"13067","39277","22390","34721","23683","38712","8472","GA",39277,38712,"H.Clinton","M.Rubio"
"13069","1094","309","2469","876","580","120","GA",1094,2469,"H.Clinton","D.Trump"
"13071","1035","302","2967","1398","773","199","GA",1035,2967,"H.Clinton","D.Trump"
"13073","4805","2333","9177","8049","5745","1133","GA",4805,9177,"H.Clinton","D.Trump"
"13075","580","171","1229","519","240","46","GA",580,1229,"H.Clinton","D.Trump"
"13077","4536","2233","9593","6445","5828","1324","GA",4536,9593,"H.Clinton","D.Trump"
"13079","493","120","930","396","248","60","GA",493,930,"H.Clinton","D.Trump"
"13081","729","172","1204","533","399","82","GA",729,1204,"H.Clinton","D.Trump"
"13083","241","230","1151","555","662","119","GA",241,1151,"H.Clinton","D.Trump"
"13085","312","268","2649","1465","1094","266","GA",312,2649,"H.Clinton","D.Trump"
"13087","1316","333","1525","701","544","112","GA",1316,1525,"H.Clinton","D.Trump"
"13089","82348","32572","11141","6805","18231","5563","GA",82348,18231,"H.Clinton","M.Rubio"
"13091","579","141","1360","504","486","84","GA",579,1360,"H.Clinton","D.Trump"
"13093","737","91","584","200","157","29","GA",737,584,"H.Clinton","D.Trump"
"13095","8891","1435","3078","1398","1148","386","GA",8891,3078,"H.Clinton","D.Trump"
"13097","9375","3139","6984","4088","3402","609","GA",9375,6984,"H.Clinton","D.Trump"
"13099","671","76","760","225","223","43","GA",671,760,"H.Clinton","D.Trump"
"13101","32","36","268","110","37","5","GA",36,268,"B.Sanders","D.Trump"
"13103","1178","620","3648","3093","1490","305","GA",1178,3648,"H.Clinton","D.Trump"
"13105","805","257","1394","716","560","150","GA",805,1394,"H.Clinton","D.Trump"
"13107","755","144","1489","692","463","86","GA",755,1489,"H.Clinton","D.Trump"
"13109","347","85","481","328","309","42","GA",347,481,"H.Clinton","D.Trump"
"13111","545","356","3001","1143","862","215","GA",545,3001,"H.Clinton","D.Trump"
"13113","7257","2918","8055","5810","7252","1737","GA",7257,8055,"H.Clinton","D.Trump"
"13115","2555","1356","5945","2861","3142","824","GA",2555,5945,"H.Clinton","D.Trump"
"13117","3701","3142","15698","9966","12046","2278","GA",3701,15698,"H.Clinton","D.Trump"
"13119","352","203","1997","1095","737","149","GA",352,1997,"H.Clinton","D.Trump"
"13121","82576","33320","22368","12267","35052","10550","GA",82576,35052,"H.Clinton","M.Rubio"
"13123","489","421","3314","1327","1152","232","GA",489,3314,"H.Clinton","D.Trump"
"13125","38","19","405","129","88","10","GA",38,405,"H.Clinton","D.Trump"
"13127","2870","1277","5516","2555","2538","943","GA",2870,5516,"H.Clinton","D.Trump"
"13129","776","553","4339","1603","1424","356","GA",776,4339,"H.Clinton","D.Trump"
"13131","887","261","1422","805","555","108","GA",887,1422,"H.Clinton","D.Trump"
"13133","1076","169","1555","637","982","364","GA",1076,1555,"H.Clinton","D.Trump"
"13135","37465","18883","32014","25313","29652","5457","GA",37465,32014,"H.Clinton","D.Trump"
"13137","608","553","3289","2090","1491","310","GA",608,3289,"H.Clinton","D.Trump"
"13139","3482","2245","12536","9067","6779","1536","GA",3482,12536,"H.Clinton","D.Trump"
"13141","1112","145","229","61","63","19","GA",1112,229,"H.Clinton","D.Trump"
"13143","413","311","2818","1454","786","125","GA",413,2818,"H.Clinton","D.Trump"
"13145","1372","448","2542","1946","1291","345","GA",1372,2542,"H.Clinton","D.Trump"
"13147","740","276","1858","965","810","173","GA",740,1858,"H.Clinton","D.Trump"
