"fip","H.Clinton"
"48223","628"
"48225","464"
"48227","350"
"48229","147"
"48231","1328"
"48233","153"
"48235","28"
"48237","87"
"48239","266"
"48241","932"
"48243","140"
"48245","16580"
"48247","1421"
"48249","4688"
"48251","2270"
"48253","173"
"48255","719"
"48257","2229"
"48259","641"
"48261","63"
"48263","22"
"48265","1016"
"48267","29"
"48269","2"
"48271","211"
"48273","1738"
"48275","68"
"48283","557"
"48277","923"
"48279","172"
"48281","324"
"48285","322"
"48287","366"
"48289","289"
"48291","1041"
"48293","592"
"48295","22"
"48297","203"
"48299","512"
"48301","3"
"48303","5767"
"48305","14"
"48313","227"
"48315","421"
"48317","36"
"48319","89"
"48321","1088"
"48323","4342"
"48307","93"
"48309","5531"
"48311","4"
"48325","1070"
"48327","23"
"48329","1551"
"48331","577"
"48333","50"
"48335","109"
"48337","153"
"48339","7540"
"48341","149"
"48343","461"
"48345","13"
"48347","1597"
"48349","955"
"48351","605"
"48353","270"
"48355","15662"
"48357","35"
"48359","11"
"48361","1852"
"48363","361"
"48365","559"
"48367","1800"
"48369","82"
"48371","816"
"48373","859"
"48375","1490"
"48377","776"
"48379","173"
"48381","1586"
"48383","12"
"48385","28"
"48387","377"
"48389","1128"
"48391","549"
"48393","3"
"48395","893"
"48397","1722"
"48399","80"
"48401","1114"
"48403","192"
"48405","366"
"48407","561"
"48409","2633"
"48411","58"
"48413","58"
"48415","154"
"48417","15"
"48419","346"
"48421","19"
"48423","5752"
"48425","66"
"48427","6918"
"48429","45"
"48431","5"
"48433","59"
"48435","27"
"48437","141"
"48439","67590"
"48441","1789"
"48443","67"
"48445","141"
"48447","26"
"48449","475"
"48451","1650"
"48453","69314"
"48455","333"
"48457","453"
"48459","725"
"48461","91"
"48463","1740"
"48465","1777"
"48467","722"
"48469","2205"
"48471","1290"
"48473","1221"
"48475","306"
"48477","781"
"48479","18559"
"48481","960"
"48483","37"
"48485","1958"
"48487","136"
"48489","2072"
"48491","16374"
"48493","1280"
"48495","30"
"48497","750"
"48499","660"
"48501","9"
"48503","198"
"48505","1969"
"48507","1557"
"50001","1111"
"50003","1255"
"50005","527"
